date,opened,element
2025-09-01,1,Pyro
2025-09-02,1,Hydro
2025-09-03,0,
2025-09-04,1,Electro
2025-09-05,0,
2025-09-06,1,Anemo
2025-09-07,0,
2025-09-08,0,
2025-09-09,0,
2025-09-10,0,
2025-09-11,1,Electro
2025-09-12,0,
2025-09-13,1,Anemo
2025-09-14,1,Dendro
2025-09-15,1,Pyro
2025-09-16,0,
2025-09-17,0,
2025-09-18,0,
2025-09-19,1,Cryo
2025-09-20,0,
2025-09-21,0,
2025-09-22,0,
2025-09-23,1,Hydro
2025-09-24,1,Geo
2025-09-25,1,Electro
2025-09-26,1,Cryo
2025-09-27,1,Anemo
2025-09-28,0,
2025-09-29,0,
2025-09-30,0,
2025-10-01,1,Geo
2025-10-02,0,
2025-10-03,1,Cryo
2025-10-04,0,
2025-10-05,1,Dendro
2025-10-06,1,Pyro
2025-10-07,1,Hydro
2025-10-08,0,
2025-10-09,1,Electro
2025-10-10,1,Cryo
2025-10-11,1,Anemo
2025-10-12,0,
2025-10-13,0,
2025-10-14,0,
2025-10-15,1,Geo
2025-10-16,1,Electro
2025-10-17,1,Cryo
2025-10-18,1,Anemo
2025-10-19,1,Dendro
2025-10-20,0,
2025-10-21,1,Hydro
2025-10-22,1,Geo
2025-10-23,0,
2025-10-24,1,Cryo
2025-10-25,1,Anemo
2025-10-26,1,Dendro
2025-10-27,1,Pyro
2025-10-28,0,
2025-10-29,1,Geo
2025-10-30,1,Electro
2025-10-31,0,
2025-11-01,1,Anemo
2025-11-02,1,Dendro
2025-11-03,0,
2025-11-04,0,
2025-11-05,1,Geo
2025-11-06,1,Electro
2025-11-07,1,Cryo
2025-11-08,1,Anemo
2025-11-09,1,Dendro
2025-11-10,0,
2025-11-11,0,
2025-11-12,0,
2025-11-13,0,
2025-11-14,0,
2025-11-15,0,
2025-11-16,0,
2025-11-17,0,
2025-11-18,1,Hydro
2025-11-19,0,
2025-11-20,1,Electro
2025-11-21,1,Cryo
2025-11-22,0,
2025-11-23,1,Dendro
2025-11-24,1,Pyro
2025-11-25,1,Hydro
2025-11-26,1,Geo
2025-11-27,0,
2025-11-28,1,Cryo
2025-11-29,1,Anemo
2025-11-30,1,Dendro
2025-12-01,1,Pyro
2025-12-02,1,Hydro
2025-12-03,1,Geo
2025-12-04,1,Electro
2025-12-05,1,Cryo
2025-12-06,1,Anemo
2025-12-07,1,Dendro
2025-12-08,1,Pyro
2025-12-09,1,Hydro